Region,Country,Date_of_Arrival,Number_of_Tourists
Greater China,Other Markets In Greater China,2023-05-01,"1,771"
North Asia,Japan,2023-05-01,"29,130"
North Asia,South Korea,2023-05-01,"39,203"
North Asia,Other Markets In North Asia,2023-05-01,86
South Asia,Bangladesh,2023-05-01,"9,529"
South Asia,India,2023-05-01,"130,444"
South Asia,Pakistan,2023-05-01,"1,222"
South Asia,Sri Lanka,2023-05-01,"4,276"
South Asia,Other Markets In South Asia,2023-05-01,"2,242"
West Asia,Iran,2023-05-01,190
West Asia,Israel,2023-05-01,"1,184"
West Asia,Kuwait,2023-05-01,305
West Asia,Saudi Arabia,2023-05-01,836
West Asia,United Arab Emirates,2023-05-01,"5,240"
West Asia,Other Markets In West Asia,2023-05-01,"1,653"
Americas,Canada,2023-05-01,"12,592"
Americas,USA,2023-05-01,"50,898"
Americas,Other Markets In Americas,2023-05-01,"6,936"
Europe,Belgium & Luxembourg,2023-05-01,"2,066"
Europe,Denmark,2023-05-01,"1,727"
Europe,Finland,2023-05-01,"1,122"
Europe,France,2023-05-01,"13,557"
Europe,Germany,2023-05-01,"22,534"
Europe,Italy,2023-05-01,"4,092"
Europe,Netherlands,2023-05-01,"6,631"
Europe,Norway,2023-05-01,"1,210"
Europe,Rep Of Ireland,2023-05-01,"1,777"
Europe,Russian Federation,2023-05-01,"3,966"
Europe,Spain,2023-05-01,"3,689"
Europe,Sweden,2023-05-01,"1,585"
Europe,Switzerland,2023-05-01,"5,383"
Europe,United Kingdom,2023-05-01,"30,608"
Europe,Other Markets In Europe,2023-05-01,"13,650"
Oceania,Australia,2023-05-01,"79,700"
Oceania,New Zealand,2023-05-01,"11,146"
Oceania,Other Markets In Oceania,2023-05-01,"3,227"
Africa,Egypt,2023-05-01,253
Africa,Mauritius,2023-05-01,363
Africa,South Africa (Rep Of),2023-05-01,"1,823"
Africa,Other Markets In Africa,2023-05-01,"2,076"
Others,Others,2023-05-01,45
Southeast Asia,Brunei Darussalam,2023-06-01,"4,121"
Southeast Asia,Indonesia,2023-06-01,"217,052"
Southeast Asia,Malaysia,2023-06-01,"85,945"
Southeast Asia,Myanmar,2023-06-01,"9,877"
Southeast Asia,Philippines,2023-06-01,"71,409"
Southeast Asia,Thailand,2023-06-01,"31,029"
Southeast Asia,Vietnam,2023-06-01,"48,924"
Southeast Asia,Other Markets In Southeast Asia,2023-06-01,"7,457"
Greater China,China,2023-06-01,"113,290"
Greater China,Hong Kong SAR,2023-06-01,"23,179"
Greater China,Taiwan,2023-06-01,"28,980"
Greater China,Other Markets In Greater China,2023-06-01,"1,779"
North Asia,Japan,2023-06-01,"25,370"
North Asia,South Korea,2023-06-01,"40,187"
North Asia,Other Markets In North Asia,2023-06-01,91
South Asia,Bangladesh,2023-06-01,"9,685"
South Asia,India,2023-06-01,"114,588"
South Asia,Pakistan,2023-06-01,"1,724"
South Asia,Sri Lanka,2023-06-01,"4,368"
South Asia,Other Markets In South Asia,2023-06-01,"3,001"
West Asia,Iran,2023-06-01,322
West Asia,Israel,2023-06-01,"1,012"
West Asia,Kuwait,2023-06-01,967
West Asia,Saudi Arabia,2023-06-01,"2,965"
West Asia,United Arab Emirates,2023-06-01,"7,525"
