Region,Country,Date_of_Arrival,Number_of_Tourists
Greater China,Other Markets In Greater China,May-23,"1,771"
North Asia,Japan,May-23,"29,130"
North Asia,South Korea,May-23,"39,203"
North Asia,Other Markets In North Asia,May-23,86
South Asia,Bangladesh,May-23,"9,529"
South Asia,India,May-23,"130,444"
South Asia,Pakistan,May-23,"1,222"
South Asia,Sri Lanka,May-23,"4,276"
South Asia,Other Markets In South Asia,May-23,"2,242"
West Asia,Iran,May-23,190
West Asia,Israel,May-23,"1,184"
West Asia,Kuwait,May-23,305
West Asia,Saudi Arabia,May-23,836
West Asia,United Arab Emirates,May-23,"5,240"
West Asia,Other Markets In West Asia,May-23,"1,653"
Americas,Canada,May-23,"12,592"
Americas,USA,May-23,"50,898"
Americas,Other Markets In Americas,May-23,"6,936"
Europe,Belgium & Luxembourg,May-23,"2,066"
Europe,Denmark,May-23,"1,727"
Europe,Finland,May-23,"1,122"
Europe,France,May-23,"13,557"
Europe,Germany,May-23,"22,534"
Europe,Italy,May-23,"4,092"
Europe,Netherlands,May-23,"6,631"
Europe,Norway,May-23,"1,210"
Europe,Rep Of Ireland,May-23,"1,777"
Europe,Russian Federation,May-23,"3,966"
Europe,Spain,May-23,"3,689"
Europe,Sweden,May-23,"1,585"
Europe,Switzerland,May-23,"5,383"
Europe,United Kingdom,May-23,"30,608"
Europe,Other Markets In Europe,May-23,"13,650"
Oceania,Australia,May-23,"79,700"
Oceania,New Zealand,May-23,"11,146"
Oceania,Other Markets In Oceania,May-23,"3,227"
Africa,Egypt,May-23,253
Africa,Mauritius,May-23,363
Africa,South Africa (Rep Of),May-23,"1,823"
Africa,Other Markets In Africa,May-23,"2,076"
Others,Others,May-23,45
Southeast Asia,Brunei Darussalam,Jun-23,"4,121"
Southeast Asia,Indonesia,Jun-23,"217,052"
Southeast Asia,Malaysia,Jun-23,"85,945"
Southeast Asia,Myanmar,Jun-23,"9,877"
Southeast Asia,Philippines,Jun-23,"71,409"
Southeast Asia,Thailand,Jun-23,"31,029"
Southeast Asia,Vietnam,Jun-23,"48,924"
Southeast Asia,Other Markets In Southeast Asia,Jun-23,"7,457"
Greater China,China,Jun-23,"113,290"
Greater China,Hong Kong SAR,Jun-23,"23,179"
Greater China,Taiwan,Jun-23,"28,980"
Greater China,Other Markets In Greater China,Jun-23,"1,779"
North Asia,Japan,Jun-23,"25,370"
North Asia,South Korea,Jun-23,"40,187"
North Asia,Other Markets In North Asia,Jun-23,91
South Asia,Bangladesh,Jun-23,"9,685"
South Asia,India,Jun-23,"114,588"
South Asia,Pakistan,Jun-23,"1,724"
South Asia,Sri Lanka,Jun-23,"4,368"
South Asia,Other Markets In South Asia,Jun-23,"3,001"
West Asia,Iran,Jun-23,322
West Asia,Israel,Jun-23,"1,012"
West Asia,Kuwait,Jun-23,967
West Asia,Saudi Arabia,Jun-23,"2,965"
West Asia,United Arab Emirates,Jun-23,"7,525"
West Asia,Other Markets In West Asia,Jun-23,"3,015"
Americas,Canada,Jun-23,"6,664"
Americas,USA,Jun-23,"59,074"
Americas,Other Markets In Americas,Jun-23,"4,623"
Europe,Belgium & Luxembourg,Jun-23,"1,646"
